word,explanation,sentence,level,part_of_speech
a,the 1st letter of the Roman alphabet,,A1,determiner
abandon,the trait of lacking restraint or control; reckless freedom from inhibition or worry;,she danced with abandon,B1,verb
abandon,leave behind empty; move out of;,You must vacate your office by tonight,B1,verb
abandon,leave someone who needs or counts on you; leave in the lurch;,The mother deserted her children,B1,verb
abandon,stop maintaining or insisting on; of ideas or claims;,"He abandoned the thought of asking for her hand in marriage""; ""Both sides have to give up some claims in these negotiations",B1,verb
abandon,a feeling of extreme emotional intensity;,the wildness of his anger,B1,verb
abandon,"forsake, leave behind;",We abandoned the old car in the empty parking lot,B1,verb
abandon,give up with the intent of never claiming again;,"Abandon your life to God""; ""She gave up her children to her ex-husband when she moved to Tahiti""; ""We gave the drowning victim up for dead",B1,verb
abandoned,forsaken by owner or inhabitants ;,weed-grown yard of an abandoned farmhouse,B2,adjective
abandoned,free from constraint;,"an abandoned sadness born of grief""- Liam O'Flaherty",B2,adjective
ability,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment,,A2,noun
ability,possession of the qualities (especially mental qualities) required to do something or get something done;,danger heightened his powers of discrimination,A2,noun
able,having a strong healthy body;,"an able seaman""; ""every able-bodied young man served in the army",B1,adjective
able,have the skills and qualifications to do things well;,"able teachers""; ""a capable administrator""; ""children as young as 14 can be extremely capable and dependable",B1,adjective
able,having inherent physical or mental ability or capacity;,"able to learn""; ""human beings are able to walk on two feet""; ""Superman is able to leap tall buildings",B1,adjective
able,(usually followed by `to') having the necessary means or skill or know-how or authority to do something;,"able to swim""; ""she was able to program her computer""; ""we were at last able to buy a car""; ""able to get a grant for the project",B1,adjective
abnormal,not normal; not typical or usual or regular or conforming to a norm;,"abnormal powers of concentration""; ""abnormal amounts of rain""; ""abnormal circumstances""; ""an abnormal interest in food",B1,adjective
abnormal,departing from the normal in e.g. intelligence and development;,"they were heartbroken when they learned their child was abnormal""; ""an abnormal personality",B1,adjective
abnormal,much greater than the normal;,"abnormal profits""; ""abnormal ambition",B1,adjective
abnormally,in an abnormal manner;,"they were behaving abnormally""; ""his blood pressure was abnormally low",B2,adverb
aboard,on first or second or third base;,Their second homer with Bob Allison aboard,B1,adverb
aboard,part of a group;,Bill's been aboard for three years now,B1,adverb
aboard,side by side;,anchored close aboard another ship,B1,adverb
aboard,"on a ship, train, plane or other vehicle",,B1,adverb
abolish,do away with;,Slavery was abolished in the mid-19th century in America and in Russia,B2,verb
