
 id |                   tags                    |                         title                          |                                                                                                                                 description                                                                                                                                  |          created_at           | like_count | author_id 
----+-------------------------------------------+--------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------+------------+-----------
  1 | {#Vocabulary,#A1}                         | Words For Supermarket                                  | Here are some words for your next shopping trip:                                                                                                                                                                                                                            +| 2024-12-16 18:10:13.978728+00 |          0 |         1
    |                                           |                                                        | - Milk                                                                                                                                                                                                                                                                      +|                               |            | 
    |                                           |                                                        | - Bread                                                                                                                                                                                                                                                                     +|                               |            | 
    |                                           |                                                        | - Apples                                                                                                                                                                                                                                                                    +|                               |            | 
    |                                           |                                                        | - Eggs                                                                                                                                                                                                                                                                      +|                               |            | 
    |                                           |                                                        | - Oranges                                                                                                                                                                                                                                                                   +|                               |            | 
    |                                           |                                                        | Example sentence: "I need to buy milk and bread today."                                                                                                                                                                                                                      |                               |            | 
  3 | {#Vocabulary}                             | Did you know: waltz means 'vals'                       | I learned about this from my English teacher. They sound so similar, but I had never made the connection before.                                                                                                                                                             | 2024-12-16 18:14:09.992183+00 |          0 |         5
 18 | {#Challenges,#B1}                         | 7-Day Speaking Challenge                               | Record yourself speaking English for 2 minutes daily for the next 7 days. Each day, pick a different topic: food, travel, hobbies... Can you complete the challenge?                                                                                                         | 2024-12-16 18:20:45.226987+00 |          1 |         9
  6 | {"#Learning Material"}                    | Great Tests of English                                 | Some great tests of English are TOEFL, IELTS and those performed by Cambridge. They are accepted worldwide by many institutions.                                                                                                                                             | 2024-12-16 18:16:25.388428+00 |          0 |         5
  7 | {"#Common Mistakes",#Grammar,#A2}         | "In" vs. "On"                                          | Do you confuse "in" and "on"? Use "in" for locations or time periods such as "I live in London." or "The meeting is in January.". Use "on" for surfaces or specific days such as "The book is on the table." or "I have an appointment on Monday.".                          | 2024-12-16 18:16:56.229848+00 |          0 |         1
  8 | {#SPEAKING}                               | Pronunciation Challenges for Turkish Speakers          | One of my biggest challenges in learning English is pronunciation, especially with sounds like "th" in "this" or "think." These sounds don’t exist in Turkish, and I often replace them with "d" or "t," which I know isn’t correct.                                        +| 2024-12-16 18:17:31.895797+00 |          0 |         3
    |                                           |                                                        | Do you have any exercises or tips for improving these difficult sounds? How long did it take you to sound natural when speaking English?                                                                                                                                     |                               |            | 
 10 | {#Question}                               | Which countries speak the best English?                | As a person interested in traveling/living abroad in the future, I am interested in the countries that are the most suited for an English speaking person. What are you guys' experience about this like?                                                                    | 2024-12-16 18:18:17.294874+00 |          0 |         5
 12 | {"#Idioms & Expressions",#B2}             | Idioms Containing Animal Names!                        | "The elephant in the room" means a big problem no one talks about. Usage: "The company's poor performance is the elephant in the room." Another is "A little bird told me" which means someone secretly told me. Usage: "A little bird told me you’re moving to a new city!" | 2024-12-16 18:19:03.512027+00 |          0 |         1
 14 | {"#Cultural Insights",#B1}                | Why Do English Speakers Say "Bless You"?               | Ever wondered why people say "Bless you" when someone sneezes? It’s a centuries-old tradition! Explore more cultural habits and share your own customs in the comments.                                                                                                      | 2024-12-16 18:19:36.342072+00 |          0 |         9
 15 | {"#Idioms & Expressions",#B1}             | What Does "Break the Ice" Mean?                        | If someone says, "Let’s break the ice," do they mean smashing ice? Nope! It’s an idiom for starting a friendly conversation. Share your favorite idioms with us!                                                                                                             | 2024-12-16 18:20:08.960266+00 |          0 |         9
 16 | {#Grammar,#Challenges}                    | Using the Correct Verb Tenses in English               |  often get confused when trying to use English verb tenses, especially the present perfect tense ("I have seen") because it doesn’t exist in Turkish. In conversations, I sometimes use the wrong tense and end up confusing people.                                        +| 2024-12-16 18:20:31.974226+00 |          0 |         3
    |                                           |                                                        | How did you learn to use tenses correctly in English? Are there any shortcuts or patterns that can help Turkish speakers?                                                                                                                                                    |                               |            | 
 17 | {#A1,#Tips}                               | How do you guys use this app?                          | I am really new here, and I want to see what is the best way of utilizing this app and community. What do you guys usually do around here?                                                                                                                                   | 2024-12-16 18:20:38.104878+00 |          0 |         6
 19 | {#SPEAKING,#Challenges}                   | Overcoming Fear of Speaking English                    | I’ve been learning English for a while now, but I still feel very shy when I try to speak it, especially with native speakers. I’m afraid of making mistakes or being misunderstood.                                                                                        +| 2024-12-16 18:21:01.682616+00 |          0 |         3
    |                                           |                                                        | How can I build confidence and start speaking more naturally? Are there any techniques that worked for you?                                                                                                                                                                  |                               |            | 
 20 | {#Formal,#B2}                             | Formal Writing                                         | When writing an email, use these tips: Start with a greeting like "Dear Mr. Smith" or "Hi Anna.". Then, write your purpose, "I am writing to ask you about...". End politely, "Best regards, [Your Name].".                                                                  | 2024-12-16 18:21:04.168523+00 |          0 |         1
 21 | {"#Common Mistakes",#B2}                  | “Advice” or “Advices”?                                 | Did you know "advice" is uncountable in English? You can’t say "advices." Instead, use "a piece of advice" if you want to count it. Have you made this mistake before?                                                                                                      +| 2024-12-16 18:21:14.150553+00 |          0 |         9
    |                                           |                                                        |                                                                                                                                                                                                                                                                             +|                               |            | 
    |                                           |                                                        |                                                                                                                                                                                                                                                                              |                               |            | 
 22 | {#General,#B2}                            | What’s Your Favorite Way to Learn?                     | Do you prefer watching videos, reading books, or chatting with others?                                                                                                                                                                                                       | 2024-12-16 18:21:42.087667+00 |          0 |         9
 23 | {#Vocabulary,#Challenges}                 | False Friends Between Turkish and English              | I’ve noticed there are some words in Turkish and English that look similar but have very different meanings. For example, "actual" in English doesn’t mean "aktüel" in Turkish. These "false friends" can make it harder to translate or speak fluently.                    +| 2024-12-16 18:21:52.211174+00 |          0 |         3
    |                                           |                                                        | Have you encountered other tricky words like this? How do you avoid mixing them up in conversations?                                                                                                                                                                         |                               |            | 
  9 | {#Grammar,#A2}                            | What’s the Difference Between "Since" and "For"?       | Do you say "I’ve lived here since 2020" or "I’ve lived here for 3 years"?                                                                                                                                                                                                    | 2024-12-16 18:17:35.28522+00  |          1 |         9
 24 | {"#Idioms & Expressions",#B1}             | An Idiom I Use A Lot                                   | Break the ice means start a conversation. For example "At the party, I told a joke to break the ice.".                                                                                                                                                                       | 2024-12-16 18:22:30.829282+00 |          1 |         1
  5 | {#Grammar,#A2}                            | Simple Present vs. Present Continuous                  | Use Simple Present for habits: "I play football every weekend.". And use Present Continuous for actions happening now: "I am playing football right now."                                                                                                                    | 2024-12-16 18:14:42.716767+00 |          1 |         1
 11 | {#Vocabulary,#A2}                         | What is the difference between these words?            | Do you know the difference between "bake" and "roast"? Or "spicy" and "hot"?                                                                                                                                                                                                 | 2024-12-16 18:18:38.005021+00 |          1 |         9
  2 | {#Vocabulary,#B1}                         | Being Polite at a Restaurant                           | Are you at a restaurant? Here’s what you can say politely: "I would like a pizza, please.", "Excuse me, can I have some water?", "How much is the bill?"                                                                                                                    +| 2024-12-16 18:13:21.10215+00  |          1 |         1
    |                                           |                                                        | Maybe you can write a dialogue for communicating with a waiter!                                                                                                                                                                                                              |                               |            | 
  4 | {}                                        | Struggling with English Articles (a, an, the)          | As a Turkish speaker, I find English articles so confusing because we don’t have anything like them in Turkish. For example, when do you use "a" vs. "the"? Sometimes I just leave them out, but I know that sounds unnatural.                                              +| 2024-12-16 18:14:37.437612+00 |          2 |         3
    |                                           |                                                        | Can anyone recommend strategies to get better at using articles correctly? Are there simple rules to follow, or is it just practice?                                                                                                                                         |                               |            | 
