
 id | question_number | question_text |                              question_image                              | level |                 choice1                  | choice1_image |                                     choice2                                     | choice2_image |                                     choice3                                     | choice3_image |                       choice4                       | choice4_image | correct_choice | quiz_id 
----+-----------------+---------------+--------------------------------------------------------------------------+-------+------------------------------------------+---------------+---------------------------------------------------------------------------------+---------------+---------------------------------------------------------------------------------+---------------+-----------------------------------------------------+---------------+----------------+---------
  1 |               1 | fork          | question_images/fork_generated.jpg                                       | A2    | çatal                                    |               | taksim                                                                          |               | araç                                                                            |               | açı                                                 |               |              1 |       1
  2 |               2 | spoon         | question_images/spoon_generated.jpg                                      | A2    | seçmek                                   |               | kaşık                                                                           |               | kap                                                                             |               | odun                                                |               |              2 |       1
  3 |               3 | cup           | question_images/cup_generated.jpg                                        | A2    | şekil                                    |               | kap                                                                             |               | biçim                                                                           |               | kase                                                |               |              4 |       1
  4 |               4 | queue         | question_images/queue_generated.jpg                                      | A2    | ayakta durmak                            |               | hat                                                                             |               | liste                                                                           |               | kuyruk                                              |               |              4 |       1
  5 |               5 | personnel     | question_images/personnel_generated.jpg                                  | A2    | hukuk                                    |               | bölüm                                                                           |               | polis                                                                           |               | çalışanlar                                          |               |              4 |       1
  6 |               6 | food          | question_images/food_generated.jpg                                       | A2    | besin                                    |               | et                                                                              |               | peynir                                                                          |               | balık                                               |               |              1 |       1
  7 |               7 | handkerchief  | question_images/handkerchief_generated.jpg                               | A2    | şan                                      |               | emir                                                                            |               | cami                                                                            |               | mendil                                              |               |              4 |       1
  8 |               1 | kırılma       | question_images/jesse.gif                                                | B1    | smashing                                 |               | exceed                                                                          |               | domesticize                                                                     |               | breaking                                            |               |              4 |       2
  9 |               2 | mosquito      | question_images/mosquito_generated.jpg                                   | B1    | değiştirme                               |               | harç                                                                            |               | gizem                                                                           |               | sivrisinek                                          |               |              4 |       2
 10 |               3 | white         | question_images/white_generated.jpg                                      | B1    | birey                                    |               | ak                                                                              |               | göz akı                                                                         |               | içerik                                              |               |              3 |       2
 11 |               1 | stone         | question_images/stone_generated.jpg                                      | A2    | madde                                    |               | mermer                                                                          |               | şey                                                                             |               | taş                                                 |               |              4 |       3
 12 |               2 | stick         | question_images/stick_generated.jpg                                      | A2    | çubuk                                    |               | sağlam                                                                          |               | kalmak                                                                          |               | dokunmak                                            |               |              1 |       3
 13 |               3 | shelter       | question_images/shelter_generated.jpg                                    | A2    | ahır                                     |               | sigorta                                                                         |               | dar                                                                             |               | barınak                                             |               |              4 |       3
 14 |               4 | run           | question_images/run_generated.jpg                                        | A2    | koşmak                                   |               | sızmak                                                                          |               | son                                                                             |               | hürriyet                                            |               |              1 |       3
 15 |               5 | sky           | question_images/sky_generated.jpg                                        | A2    | perde                                    |               | mavi                                                                            |               | denizaltı                                                                       |               | gökyüzü                                             |               |              4 |       3
 16 |               6 | shoe          | question_images/shoe_generated.jpg                                       | A2    | kundura                                  |               | ölçeklendirmek                                                                  |               | elbise                                                                          |               | kap                                                 |               |              1 |       3
 17 |               1 | Aslan         | question_images/aslan-central-character-cs-lewiss-600nw-2494304611_1.jpg | A2    | zebra                                    |               | lion                                                                            |               | horse                                                                           |               | lamb                                                |               |              2 |       4
 18 |               2 | horse         | question_images/horse_generated.jpg                                      | A2    | kurt                                     |               | koyun                                                                           |               | at                                                                              |               | tavuk                                               |               |              3 |       4
 19 |               1 | mitigate      |                                                                          | C1    | Güçlendirmek                             |               | Yok etmek                                                                       |               | Hafifletmek                                                                     |               | Çoğaltmak                                           |               |              3 |       5
 20 |               2 | Kapsamlı      |                                                                          | C1    | Comprehensive                            |               | Incorrect                                                                       |               | Simple                                                                          |               | Vague                                               |               |              1 |       5
 21 |               3 | Rehabilitate  |                                                                          | C1    | Korumak                                  |               | Azaltmak                                                                        |               | İyileştirmek                                                                    |               | Göz ardı etmek                                      |               |              3 |       5
 22 |               1 | zombie        | question_images/zombie_generated.jpg                                     | B1    | ilah                                     |               | ruh                                                                             |               | ölümsüz                                                                         |               | yaşayan ölü                                         |               |              4 |       6
 23 |               2 | survival      | question_images/survival_generated.jpg                                   | B1    | hayatta kalma                            |               | canlı                                                                           |               | ekipman                                                                         |               | seleksiyon                                          |               |              1 |       6
 24 |               3 | gun           | question_images/gun_generated.jpg                                        | B1    | ayaklık                                  |               | silah                                                                           |               | tahliye etmek                                                                   |               | tane                                                |               |              2 |       6
 25 |               4 | castle        | question_images/castle_generated.jpg                                     | B1    | kapı                                     |               | ülke                                                                            |               | gitmek                                                                          |               | kale                                                |               |              4 |       6
 26 |               5 | car           | question_images/car_generated.jpg                                        | B1    | araba                                    |               | makine                                                                          |               | koç                                                                             |               | elektro-                                            |               |              1 |       6
 27 |               6 | graveyard     | question_images/graveyard_generated.jpg                                  | B1    | çiçek                                    |               | taş                                                                             |               | web sitesi                                                                      |               | mezarlık                                            |               |              4 |       6
 28 |               1 | Computer      | question_images/Computer_generated.jpg                                   | B2    | an entity that has physical existence    |               | a general concept formed by extracting common features from specific examples   |               | that which is perceived or known or inferred to have its own distinct existence |               | a machine for performing calculations automatically |               |              4 |       7
 29 |               2 | Keyboard      | question_images/Keyboard_generated.jpg                                   | B2    | a holding device                         |               | holder consisting of keys or locks can be hung                                  |               | a device that provides reactive force when in motion relative to the air        |               | a device for amplifying or transmitting sound       |               |              2 |       7
 30 |               3 | screen        |                                                                          | B2    | bakış                                    |               | ekran                                                                           |               | tuş                                                                             |               | kap                                                 |               |              2 |       7
 31 |               1 | Futbol        | question_images/Futbol_generated.jpg                                     | A1    | football                                 |               | basketball                                                                      |               | ball                                                                            |               | rugby                                               |               |              1 |      10
 32 |               2 | basketball    | question_images/basketball_generated.jpg                                 | A1    | misket                                   |               | basketbol                                                                       |               | futbol                                                                          |               | voleybol                                            |               |              2 |      10
 33 |               3 | volleyball    | question_images/volleyball_generated.jpg                                 | A1    | voleybol                                 |               | futbol                                                                          |               | file                                                                            |               | basketbol                                           |               |              1 |      10
 34 |               4 | tennis        | question_images/tennis_generated.jpg                                     | A1    | futbol                                   |               | voleybol                                                                        |               | tenis                                                                           |               | basketbol                                           |               |              3 |      10
 35 |               1 | cobblestone   |                                                                          | B1    | rectangular paving stone with curved top |               | that which is perceived or known or inferred to have its own distinct existence |               | a general concept formed by extracting common features                          |               | an entity that has physical existence               |               |              1 |      11
 36 |               2 | pickaxe       |                                                                          | B1    | kazma                                    |               | chaetau                                                                         |               | seçmek                                                                          |               | mendil                                              |               |              1 |      11
 37 |               3 | elmas         |                                                                          | B1    | sparkler                                 |               | copper                                                                          |               | tract                                                                           |               | diamond                                             |               |              4 |      11
